Project Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Plan Name,Bedrooms,Bathrooms,Floors,Garages,Unit Size,Current List Price,Last Update Date,Plan Universal ID,Period,Period Price,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf3x000001YafaCAC,Heron Creek,Arbor Homes,Clayton Properties Group,Active,,,Ironwood,3,2.50,2,2,1963,302995,5/10/2026,aAa3x000000YjniCAC,8/8/2023,280995.00,Non Active Adult,46140,Greenfield,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,Mt Comfort Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.80734,-85.92481
aAf3x000001QKUpCAO,Vintners Park Estates,Drees Homes,,Active,,,VANDERBURGH,4,2.50,2,3,3252,657900,5/19/2026,aAa3x000000YeIhCAK,8/8/2023,599900.00,Non Active Adult,46055,McCordsville,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.91338,-85.92927
aAf3x000001QNemCAG,The Cove,Fischer Homes,,Active,,,Maxwell,2,2.00,1,2,1856,439990,4/30/2026,aAa3x000000ZiVbCAK,5/19/2023,429990.00,Non Active Adult,46040,Fishers,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Hamilton Southeastern Schools,Hamilton Southeastern Jr High School; Southeastern Elementary School,9; 7,Hamilton Southeastern Jr High School,9,Hamilton Southeastern High School,10,,39.96309,-85.89215
aAf3x000001QNemCAG,The Cove,Fischer Homes,,Active,,,Margot,4,2.50,2,0,3155,716990,4/30/2026,aAaPc0000004Ff6KAE,6/21/2025,691990.00,Non Active Adult,46040,Fishers,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Hamilton Southeastern Schools,Hamilton Southeastern Jr High School; Southeastern Elementary School,9; 7,Hamilton Southeastern Jr High School,9,Hamilton Southeastern High School,10,,39.96309,-85.89215
aAfPc000001gqrQKAQ,Westfall Place,Arbor Homes,Clayton Properties Group,Active,,,Juniper,3,2.50,2,2,1760,267995,5/16/2026,aAaPc000000wGY0KAM,11/5/2025,265995.00,Non Active Adult,46071,Thorntown,Boone,18011,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Western Boone County Com Sch District,,,Western Boone Jr-Sr High School,6,Western Boone Jr-Sr High School,6,,40.12700,-86.62602
aAf3x000001WqpfCAC,Somerset West,Silverthorne Homes,Clayton Properties Group,Active,,,Jefferson,3,2.00,1,2,2241,408995,4/25/2026,aAa3x000000YhtFCAS,10/19/2024,406995.00,Non Active Adult,46074,Westfield,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Westfield-Washington Schools,Westfield Intermediate School; Monon Trail Elementary School,9; 6,Westfield Middle School,9,Westfield High School,10,,40.04570,-86.17919
aAf3x000001QKUpCAO,Vintners Park Estates,Drees Homes,,Active,,,ASH LAWN,4,2.50,2,3,3085,675900,5/19/2026,aAa3x000000YeIICA0,4/8/2025,665900.00,Non Active Adult,46055,McCordsville,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.91338,-85.92927
aAf3x000001WeIxCAK,Silver Stream,Arbor Homes,Clayton Properties Group,Active,,,Ironwood,3,2.50,2,2,1963,283995,5/21/2026,aAa3x000000YjnmCAC,8/29/2024,281995.00,Non Active Adult,46235,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,M S D Lawrence Township,Indian Creek Elementary School,4,Fall Creek Valley Middle School,5,Lawrence North High School,5,,39.84161,-85.98043
aAf3x000001WoRWCA0,Hickory Run,M/I Homes,,Active,,,Akerman II,4,2.50,2,2,2469,345990,5/18/2026,aAaPc000000ATAqKAO,4/14/2025,338990.00,Non Active Adult,46239,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Franklin Township Com Sch Corp,,,,,Franklin Central High School,9,,39.68048,-85.99215
aAf3x000001WeIxCAK,Silver Stream,Arbor Homes,Clayton Properties Group,Active,,,Bradford,3,2.00,1,0,1613,262995,5/21/2026,aAa3x000000UEQMCA4,10/19/2024,262995.00,Non Active Adult,46235,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,M S D Lawrence Township,Indian Creek Elementary School,4,Fall Creek Valley Middle School,5,Lawrence North High School,5,,39.84161,-85.98043
