Project Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Plan Name,Bedrooms,Bathrooms,Floors,Garages,Unit Size,List Price,Last Update Date,Plan Universal ID,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAfPc000000zkifKAA,Bo-Mar Estates/ TH,Olthof Homes,,Active,,,Piper,2,1.50,2,2,1356,274690,5/25/2026,aAaPc000000O4aLKAS,Non Active Adult,46168,Plainfield,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Avon Community School Corp,Cedar Elementary School; Avon Intermediate School West,7; 7,Avon Middle School South,10,Avon High School,10,,39.72793,-86.36178
aAfPc000001kX6rKAE,Centennial of Brownsburg/TH,Davis Homes,,Upcoming,,,Farrington,3,2.00,1,2,1397,359990,5/1/2026,aAaPc000001IfgrKAC,Non Active Adult,46112,Brownsburg,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Brownsburg Community Sch Corp,White Lick Elementary School,8,Brownsburg West Middle School,8,Brownsburg High School,10,,39.80269,-86.36523
aAf3x000001WqpfCAC,Somerset West,Silverthorne Homes,Clayton Properties Group,Active,,,Taylor,3,2.50,1,2,2001,391995,4/25/2026,aAa3x000000YhtICAS,Non Active Adult,46074,Westfield,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Westfield-Washington Schools,Westfield Intermediate School; Monon Trail Elementary School,9; 6,Westfield Middle School,9,Westfield High School,10,,40.04570,-86.17919
aAfPc000001RqDOKA0,Rivendell,Pulte Homes,PulteGroup Inc.,Active,,,Greenfield,4,2.50,2,2,3021,409990,5/16/2026,aAaPc0000010IEPKA2,Non Active Adult,46123,Avon,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Avon Community School Corp,Hickory Elementary School; Avon Intermediate School West,7; 7,Avon Middle School South,10,Avon High School,10,,39.74774,-86.41395
aAfPc000001RqDMKA0,Rockport,M/I Homes,,Active,,,Kentmore Basement,3,2.50,2,2,2070,514490,5/22/2026,aAaPc000000hE3IKAU,Non Active Adult,46055,Vernon,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.91552,-85.92644
aAfPc000000GNdNKAW,Grand Vista/Carriage Duplex,Lennar,,Active,,,Harmony,4,2.50,2,2,1803,298995,5/16/2026,aAaPc000000NKedKAG,Non Active Adult,46143,Greenwood,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Clark-Pleasant Com School Corp,Clark Elementary School,6,Clark Pleasant Middle School,7,Whiteland Community High School,5,,39.59127,-86.04610
aAfPc000001fA4TKAU,Parkside at Finch Creek/Crossings Side Load,Pulte Homes,PulteGroup Inc.,Active,,,Riverton - Side Load,4,2.50,2,2,3126,487990,5/19/2026,aAaPc000000bf5lKAA,Non Active Adult,46060,Noblesville,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Hamilton Southeastern Schools,Hamilton Southeastern Jr High School; Deer Creek Elementary,9; 7,Hamilton Southeastern Jr High School,9,Hamilton Southeastern High School,10,,40.03075,-85.93807
aAf3x000001QNemCAG,The Cove,Fischer Homes,,Active,,,Morgan,2,2.00,1,0,1810,433990,4/30/2026,aAaPc000000HJ9iKAG,Non Active Adult,46040,Fishers,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Hamilton Southeastern Schools,Hamilton Southeastern Jr High School; Southeastern Elementary School,9; 7,Hamilton Southeastern Jr High School,9,Hamilton Southeastern High School,10,,39.96309,-85.89215
aAf3x000001WdclCAC,Chatham Village/Cottage Collection,David Weekley Homes,,Active,,,Honor,4,3.00,2,2,2973,668990,5/9/2026,aAa3x000000YR9uCAG,Non Active Adult,46074,Westfield,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Westfield-Washington Schools,Westfield Intermediate School; Monon Trail Elementary School,9; 6,Westfield Middle School,9,Westfield High School,10,,40.08103,-86.13605
aAf3x000001WgrLCAS,Northwood Haven,Arbor Homes,Clayton Properties Group,Active,,,Ashton,3,2.00,1,2,1354,280995,5/28/2026,aAa3x000000UQjyCAG,Non Active Adult,46122,Danville,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Danville Community School Corp,Danville Middle School; South Elementary School,8; 7,Danville Middle School,8,Danville Community High School,8,,39.77638,-86.49500
